scenario_id,campaign,status,runs,success_rate,elapsed_mean_ms,elapsed_median_ms,elapsed_p95_ms,elapsed_p99_ms,elapsed_min_ms,elapsed_max_ms,bytes_read_mean,bytes_written_mean,chain_len_unique,chain_bytes_unique,served_chain_der_bytes,root_alg,root_der_bytes,intermediate_alg,intermediate_der_bytes,leaf_alg,leaf_der_bytes,perf_client_task_clock_raw,perf_client_task_clock_unit,perf_client_cpu_utilized,perf_client_cycles,perf_client_cycles_ghz,perf_client_instructions,perf_client_ipc,perf_client_branches,perf_client_branches_rate_msec,perf_client_branch_misses,perf_client_branch_miss_rate_pct,perf_client_cache_references,perf_client_cache_refs_rate_msec,perf_client_cache_misses,perf_client_cache_miss_rate_pct,perf_server_task_clock_raw,perf_server_task_clock_unit,perf_server_cpu_utilized,perf_server_cycles,perf_server_cycles_ghz,perf_server_instructions,perf_server_ipc,perf_server_branches,perf_server_branches_rate_msec,perf_server_branch_misses,perf_server_branch_miss_rate_pct,perf_server_cache_references,perf_server_cache_refs_rate_msec,perf_server_cache_misses,perf_server_cache_miss_rate_pct,run_dir,pcap_file
x25519mlkem768__ml_root__ml_leaf,C,completed,10000,1,0.8092876,0.777,1.0130499999999991,1.1970400000000008,0.665,2.706,15992,1575,2,11122,5579,mldsa65,5543,,,mldsa65,5579,5767.53,msec,0.652,18260682168,3.166,41066389179,2.25,3432510322,595.144,67094725,1.95,501893229,87.02,13598567,2.71,6022.05,msec,0.601,19475375481,3.234,45672151016,2.35,3022617364,501.925,61513089,2.04,489650567,81.31,11620750,2.37,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__ml_root__ml_leaf/20260316T020924Z,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__ml_root__ml_leaf/20260316T020924Z/pcap_x25519mlkem768__ml_root__ml_leaf.pcap
x25519mlkem768__ml_root__ml_int__ml_leaf,B,completed,10000,1,0.8090514,0.785,1.0,1.1670100000000003,0.664,2.516,16008,1575,2,11138,11138,mldsa65,5543,mldsa65,5551,mldsa65,5587,6221.89,msec,0.699,20041550408,3.221,46029646376,2.3,3666448110,589.282,76508366,2.09,509359166,81.866,18974076,3.73,5618.98,msec,0.56,17964506206,3.197,41035717710,2.28,2814640227,500.916,58309862,2.07,442363910,78.727,16391634,3.71,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__ml_root__ml_int__ml_leaf/20260316T020936Z,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__ml_root__ml_int__ml_leaf/20260316T020936Z/pcap_x25519mlkem768__ml_root__ml_int__ml_leaf.pcap
x25519mlkem768__slh_root__ml_leaf,C,completed,10000,1,3.3761742,3.294,3.856,5.003030000000001,2.913,12.635,39962,1575,2,35047,18495,slhdsashake192s,16552,,,mldsa65,18495,19175.69,msec,0.552,71097638791,3.708,263107306829,3.7,6176247183,322.087,120846926,1.96,585018755,30.508,81817270,13.99,19146.49,msec,0.546,70989030721,3.708,267611204581,3.77,5748076173,300.216,94362658,1.64,547792679,28.611,67552448,12.33,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__slh_root__ml_leaf/20260316T020949Z,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__slh_root__ml_leaf/20260316T020949Z/pcap_x25519mlkem768__slh_root__ml_leaf.pcap
x25519mlkem768__slh_root__ml_int__ml_leaf,B,completed,10000,1,2.1330265,2.071,2.522,3.4290400000000005,1.776,11.431,28947,1575,2,24054,24054,slhdsashake192s,16552,mldsa65,18467,mldsa65,5587,19272.97,msec,0.86,71452025828,3.707,262761775965,3.68,6356242969,329.801,117600586,1.85,575976677,29.885,82486615,14.32,6671.75,msec,0.29,20766393581,3.113,43670279405,2.1,2870253389,430.21,87769387,3.06,494699167,74.148,63671292,12.87,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__slh_root__ml_int__ml_leaf/20260316T021026Z,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__slh_root__ml_int__ml_leaf/20260316T021026Z/pcap_x25519mlkem768__slh_root__ml_int__ml_leaf.pcap
x25519mlkem768__ml_root__slh_leaf,C,completed,300,1,1406.2832466666666,1401.9555,1438.05425,1474.3242400000001,1395.688,1533.728,26999,1575,2,9214,3671,mldsa65,5543,,,slhdsashake192s,3671,605.41,msec,0.001,2173685070,3.59,7672579339,3.53,192553137,318.052,4658958,2.42,18500157,30.558,6137776,33.18,421478.07,msec,0.997,1751780098480,4.156,7972166435432,4.55,128996794073,306.058,620051613,0.48,36276584,86.07,13776122,37.98,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__ml_root__slh_leaf/20260316T022553Z,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__ml_root__slh_leaf/20260316T022553Z/pcap_x25519mlkem768__ml_root__slh_leaf.pcap
x25519mlkem768__ml_root__slh_int__slh_leaf,B,completed,300,1,1405.8028366666667,1403.441,1419.46965,1456.62276,1396.427,1470.882,38046,1575,2,20239,20239,mldsa65,5543,slhdsashake192s,3644,slhdsashake192s,16595,970.75,msec,0.002,3720056125,3.832,14617177677,3.93,280156165,288.597,5257759,1.88,19226781,19.806,6986849,36.34,420932.84,msec,0.996,1752048635403,4.162,7972092662028,4.55,128991211773,306.441,643861857,0.5,33520804,79.635,12362587,36.88,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__ml_root__slh_int__slh_leaf/20260316T023258Z,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__ml_root__slh_int__slh_leaf/20260316T023258Z/pcap_x25519mlkem768__ml_root__slh_int__slh_leaf.pcap
x25519mlkem768__slh_root__slh_leaf,C,completed,300,1,1407.71408,1405.2134999999998,1426.6515000000002,1449.48796,1398.419,1459.579,50969,1575,2,33139,16587,slhdsashake192s,16552,,,slhdsashake192s,16587,954.63,msec,0.002,3612707263,3.784,14073595485,3.9,272042039,284.971,5076239,1.87,18965261,19.867,6900583,36.39,421526.21,msec,0.997,1754096029361,4.161,7978549024552,4.55,129074336782,306.207,652817846,0.51,35100391,83.27,12643794,36.02,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__slh_root__slh_leaf/20260316T024002Z,/home/jose/tls-pqc-lab/results/campaign_C/x25519mlkem768__slh_root__slh_leaf/20260316T024002Z/pcap_x25519mlkem768__slh_root__slh_leaf.pcap
x25519mlkem768__slh_root__slh_int__slh_leaf,B,completed,300,1,1408.7032566666667,1406.062,1423.67815,1462.90484,1397.727,1485.442,50985,1575,2,33155,33155,slhdsashake192s,16552,slhdsashake192s,16560,slhdsashake192s,16595,1291.05,msec,0.003,4989501266,3.865,20336174102,4.08,354458294,274.551,5730391,1.62,19659047,15.227,6930701,35.25,421471.03,msec,0.995,1753787610076,4.161,7972173005749,4.55,128991832967,306.051,652728135,0.51,34200357,81.145,12482296,36.5,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__slh_root__slh_int__slh_leaf/20260316T024707Z,/home/jose/tls-pqc-lab/results/campaign_B/x25519mlkem768__slh_root__slh_int__slh_leaf/20260316T024707Z/pcap_x25519mlkem768__slh_root__slh_int__slh_leaf.pcap
