scenario_id,campaign,status,runs,success_rate,elapsed_mean_ms,elapsed_median_ms,elapsed_p95_ms,elapsed_p99_ms,elapsed_min_ms,elapsed_max_ms,bytes_read_mean,bytes_written_mean,chain_len_unique,chain_bytes_unique,served_chain_der_bytes,root_alg,root_der_bytes,intermediate_alg,intermediate_der_bytes,leaf_alg,leaf_der_bytes,perf_client_task_clock_raw,perf_client_task_clock_unit,perf_client_cpu_utilized,perf_client_cycles,perf_client_cycles_ghz,perf_client_instructions,perf_client_ipc,perf_client_branches,perf_client_branches_rate_msec,perf_client_branch_misses,perf_client_branch_miss_rate_pct,perf_client_cache_references,perf_client_cache_refs_rate_msec,perf_client_cache_misses,perf_client_cache_miss_rate_pct,perf_server_task_clock_raw,perf_server_task_clock_unit,perf_server_cpu_utilized,perf_server_cycles,perf_server_cycles_ghz,perf_server_instructions,perf_server_ipc,perf_server_branches,perf_server_branches_rate_msec,perf_server_branch_misses,perf_server_branch_miss_rate_pct,perf_server_cache_references,perf_server_cache_refs_rate_msec,perf_server_cache_misses,perf_server_cache_miss_rate_pct,run_dir,pcap_file
x25519__leaf_mldsa65,A,completed,10000,1,0.688452,0.669,0.8739999999999999,1.0040200000000004,0.535,2.336,14904,399,2,11122,5579,mldsa65,5543,,,mldsa65,5579,5172.9,msec,0.674,15865654371,3.067,33451436961,2.11,3218876289,622.258,70022253,2.18,440279747,85.113,12978558,2.95,5287.34,msec,0.658,16696509675,3.158,38347865621,2.3,2794190650,528.468,47884404,1.71,429413437,81.215,10829388,2.52,/home/jose/tls-pqc-lab/results/campaign_A/x25519__leaf_mldsa65/20260316T020902Z,/home/jose/tls-pqc-lab/results/campaign_A/x25519__leaf_mldsa65/20260316T020902Z/pcap_x25519__leaf_mldsa65.pcap
x25519mlkem768__leaf_mldsa65,A,completed,10000,1,0.8405923,0.805,1.072,1.3280200000000004,0.663,10.759,15992,1575,2,11122,5579,mldsa65,5543,,,mldsa65,5579,5936.6,msec,0.652,18820808347,3.17,41066735303,2.18,3432504712,578.194,78483929,2.29,510233513,85.947,20847332,4.09,6228.46,msec,0.622,19906256195,3.196,45775443012,2.3,3024636618,485.615,63894067,2.11,496320217,79.686,18344793,3.7,/home/jose/tls-pqc-lab/results/campaign_A/x25519mlkem768__leaf_mldsa65/20260316T020912Z,/home/jose/tls-pqc-lab/results/campaign_A/x25519mlkem768__leaf_mldsa65/20260316T020912Z/pcap_x25519mlkem768__leaf_mldsa65.pcap
x25519__leaf_slhdsashake192s,A,completed,300,1,1464.9326733333332,1463.937,1529.9994499999998,1571.8952099999997,1403.688,1582.908,49881,399,2,33139,16587,slhdsashake192s,16552,,,slhdsashake192s,16587,947.75,msec,0.002,3585634569,3.783,13859019996,3.87,264886696,279.49,4733007,1.79,17055002,17.995,6577864,38.57,438684.4,msec,0.997,1794529272138,4.091,7978311538831,4.45,129066606535,294.213,632362002,0.49,46402360,105.776,18387121,39.63,/home/jose/tls-pqc-lab/results/campaign_A/x25519__leaf_slhdsashake192s/20260316T021124Z,/home/jose/tls-pqc-lab/results/campaign_A/x25519__leaf_slhdsashake192s/20260316T021124Z/pcap_x25519__leaf_slhdsashake192s.pcap
x25519mlkem768__leaf_slhdsashake192s,A,completed,300,1,1413.99142,1408.4535,1448.7868500000002,1555.4472700000001,1398.735,1577.944,50969,1575,2,33139,16587,slhdsashake192s,16552,,,slhdsashake192s,16587,944.54,msec,0.002,3597402183,3.809,14071033786,3.91,272023608,287.996,5084966,1.87,18849065,19.956,6899922,36.61,423403.43,msec,0.997,1757097537098,4.15,7978545054866,4.54,129074304956,304.849,628888762,0.49,38205502,90.234,12736186,33.34,/home/jose/tls-pqc-lab/results/campaign_A/x25519mlkem768__leaf_slhdsashake192s/20260316T021846Z,/home/jose/tls-pqc-lab/results/campaign_A/x25519mlkem768__leaf_slhdsashake192s/20260316T021846Z/pcap_x25519mlkem768__leaf_slhdsashake192s.pcap
